INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,DAMAGE,COST_REPAIRS,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
8/31/2014 0:00,GA,KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,DAL,DELTA AIR LINES,MD-88,D,O2205,Mourning dove,N,,583,37,34,10,A,4,2,5,5,,,N951DL,478,TRUE,FALSE,8,2014,Day,1854,ASO,,27R,,0,,0,Take-off run,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Some Cloud,None,,1,Small,Y,xxxx-x-x-xxxxxx,DAL478 REPTD BIRDSTRIKE ON T/O. REMAINS FOUND ON RWY 27R @ N12.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,1/21/2015 0:00,FALSE,FALSE
8/28/2014 0:00,GA,KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,BUS,BUSINESS,SAAB 2000,C,UNKBS,Unknown bird - small,N,,778,6,1,7,A,4,2,4,4,,,N511RH,,FALSE,FALSE,8,2014,Day,1845,ASO,,8L,,500,135,1,Approach,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,,,1,Small,N,xxxx-x-xx-xxxxxx OPERATOR / OWNER = HENDRICK MOTORSPORTS LLC,LOCATION REPTD AS 1NM FINAL.,,40,,40,Deleted,Deleted,,FAA Form 5200-7-E,Pilot,,,1/21/2015 0:00,FALSE,FALSE
8/27/2014 0:00,GA,KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,ASQ,EXPRESSJET AIRLINES,CRJ700,D,UNKB,Unknown bird,,,188,16,22,4,A,4,2,5,5,,,N755EV,5141,FALSE,FALSE,8,2014,Day,1930,ASO,,8L,,250,,,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,None,,No Cloud,None,,1,,,xxxx-x-xx-xxxxxx,ASQ5141 REPTD STRIKING A SML BLACK BIRD WHILE ON APCH TO 8L. A/C WAS INSPCTD BUT NO SNARGE WAS FOUND.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,1/21/2015 0:00,FALSE,FALSE
8/25/2014 0:00,GA,KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,UNK,UNKNOWN,UNKNOWN,,1C2101,Red bat,,,,,,,,,,,,,,,,TRUE,TRUE,8,2014,,,ASO,,,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,"SOURCE= TWO xxxx-x (xxxx-x-xx-xxxxxx, Rx)",ID BY SMITHSONIAN. BAT REMAINS REMOVED DURING DRI AT TWY D AND B NEAR HOLDBAR OF RWY 8R. AIRCRAFT UNKNOWN. 7:20 AM DAY,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,1/6/2015 0:00,FALSE,FALSE
8/24/2014 0:00,GA,KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,AAL,AMERICAN AIRLINES,A-319,D,UNKB,Unknown bird,N,,04A,6,,,A,4,2,1,1,,,,2396,FALSE,FALSE,8,2014,Night,2252,ASO,,9R,,1600,,,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,,,,,,1,,,ATL-M-xxxx/xx/xx-xxxx,PILOT ADVISED THEY HIT A BIRD AT ABOUT 1600 FT ON FINAL FOR RWY 9R. PILOTADVISED THEY WOULD NOTIFY TWR IF ANY DMG. (DATA ENTRY NOTE: AIRLINE HAD NO INFO ON THIS STRIKE),,,,,Deleted,Deleted,,MOR,Tower,,,1/21/2015 0:00,FALSE,FALSE
8/24/2014 0:00,GA,KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,UNK,UNKNOWN,UNKNOWN,,O2205,Mourning dove,,,,,,,,,,,,,,,,TRUE,FALSE,8,2014,,,ASO,,9R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,"SOURCE= TWO xxxx-x (xxxx-x-xx-xxxxxx, Rx)",ATCT REPORTED DEAD BIRD AT TWY N AND N6. OPS RESPONDED AND REMOVED REMAINS FROM RWY 9R/27L AT TWY N6. AIRCRAFT UNKNOWN. 10:50 AM DAY,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,1/6/2015 0:00,FALSE,FALSE
8/21/2014 0:00,GA,KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,UNK,UNKNOWN,UNKNOWN,,N5111,Killdeer,,,,,,,,,,,,,,,,TRUE,FALSE,8,2014,,,ASO,,27L,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,"UPON INSPECTION OF 27L, REMAINS WERE FOUND ON C/L ADJACENT TO THE 8000' DRS. NO REPORT OF BIRD STRIKE. 2:45 AM NIGHT",,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,1/6/2015 0:00,FALSE,FALSE
8/14/2014 0:00,GA,KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,DAL,DELTA AIR LINES,A-319,D,O2205,Mourning dove,N,,04A,6,10,1,A,4,2,1,1,,,N317NB,1677,TRUE,TRUE,8,2014,Day,1820,ASO,,9R,,300,145,,Approach,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,2 to 10,1,Small,Y,"SOURCE = THREE xxxx-x (xxxx-x-xx-xxxxxx, Rx, Rx)",ID BY SMITHSONIAN. PILOT REPTD STRIKING BIRD AT APPROX 300 AGL. OPS INSPECTED RWY WITH NEGATIVE RESULTS. SAMPLE COLLECTED FROM JUST UNDER CAPT WNDSHIELD AND SENT TO SI FOR ID.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Pilot,,,1/21/2015 0:00,FALSE,FALSE
8/14/2014 0:00,GA,KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,UNK,UNKNOWN,UNKNOWN,,N5111,Killdeer,,,,,,,,,,,,,,,,TRUE,FALSE,8,2014,,,ASO,,,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,KILLDEER FOUND SMASHED ON WEST END OF TWY R ABEAM R3. BIRD REMOVED FROM TWY. 7:30 AM DAY,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,1/6/2015 0:00,FALSE,FALSE
