INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,DAMAGE,COST_REPAIRS,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
11/22/07 0:00,N/A,LFMN,NICE COTE D'AZUR INTL ARPT,DAL,DELTA AIR LINES,B-767-300,D,NE138,Yellow-legged gull,S,8925119,148,97,22,7,A,4,2,1,1,,,N1611B,83,TRUE,TRUE,11,2007,Day,1411,FGN,,4R,,250,,,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Precautionary Landing,,Some Cloud,Rain,2 to 10,2 to 10,Medium,,SOURCE = NTSB ENGxxRAxxx (DELTA NEVER FILED A STRIKE REPORT FOR THIS. PROVIDED INFO AFTER REQUEST BY DATABASE MGR) (x/xx/xx UPDATED COST AND DMG: x/xx/xx UPDATED ARPT CODE),"ID BY SMITHSONIAN, FAA 2313. DURING T/O RUN A LARGE FLOCK OF BIRDS WAS SEEN ON RWY AT ABOUT 7000 FT MARKER. AFTER ROTATION THE FLOCK LIFTED OFF AND SHORTLY AFTER CREW FELT HIT AND VIBRATIONS. MULTIPLE BIRDSTRIKES IN RT ENG. A/C RETD TO LAND. NO INJURIES. FAN BLADE DAMAGE. 1 PIECE CAME OFF. UNCONTAINED FAILURE. CONE NOZZLE FELL OFF. ENG SHUT DOWN AFTER LDG. ENG REPLACED. ALSO DAMAGED WERE RT INBD AILERON AND LEFT WING OUTBD TRAILING EDGE. FLT WAS CANCELLED",288,195931,10733678,235634,Deleted,Deleted,,Air Transport Report,Air Transport Operations,,,4/14/14 0:00,FALSE,TRUE
10/25/08 0:00,UT,KSLC,SALT LAKE CITY INTL,DAL,DELTA AIR LINES,DC-9-30,D,K3312,Ferruginous hawk,S,3200000,583,21,34,10,A,4,2,5,5,,,N904DA,1147,TRUE,FALSE,10,2008,Day,1010,ANM,,17,,0,135,0,Take-off run,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Aborted Take-off,,No Cloud,None,1,1,Large,Y,"SOURCE = AON DAILY INCIDENTS, NEWS ARTICLE, THREE xxxx-x (xxxx-xx-xx-xxxxxx, Rx & Rx)","ID BY WS BIOL AS JUVENILE FERRUGINOUS HAWK. HIT BIRD AT HIGH SPEED DURING T/O, ENG STALLED AND T/O WAS ABORTED. WE SHUT DOWN THE ENG AFTER EXITING RWY. TAXIED TO TERMIANL. APRT PERSONNEL COLLECTED WING REMAINS FOR ID. REPLACEMENT A/C FOUND. DELAY OF ABOUT 3 HRS. RWY WAS CLOSED FOR 30 MINS. COSTS INCLUDE 4 TIRES AND BRAKE ASSEMBLIES, AND 4 FAN BALDES. PRELIMINARY FIGURE ESTIMATED AT $ 965,00.",24,,3748321,,Deleted,Deleted,,Multiple,Pilot,,,3/12/09 0:00,FALSE,TRUE
12/2/07 0:00,N/A,GOOY,DAKAY-YOFF-LEOPOLD SEDAR SENGHOR,DAL,DELTA AIR LINES,B-767-400,D,UNKBL,Unknown bird - large,S,1161705,148,47,22,1,A,4,2,1,1,,,N839MH,34,FALSE,FALSE,12,2007,Day,650,FGN,,36,,200,185,,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Precautionary Landing,,Some Cloud,None,2 to 10,1,Large,N,"TWO xxxx-x (xxxx-xx-xx-xxxxx & xxxxxx) & DAILY REPT (UPDATED x-xx-xx COST, AOS ) (UPDATED xx/xx/xx DAILY REPT)","BIRD INGESTED. DMG TO 5 FAN BLADES, ENG KEPT OPERATING BUT WITH GREATER THAN NORMAL VIBRATIONS AT HIGHER POWER SETTINGS. MADE PREC 2 ENG LDG. ALL ENG #1 FAN BLADES REMOVED AND REPLACED.",96,,1397109,,Deleted,Deleted,,FAA Form 5200-7-E,Pilot,,,11/17/08 0:00,FALSE,TRUE
7/7/07 0:00,N/A,LIRF,FIUMICINO ARPT,DAL,DELTA AIR LINES,B-767-400,D,NE138,Yellow-legged gull,S,785000,148,47,22,7,A,4,2,1,1,,,N834MH,77,TRUE,TRUE,7,2007,Day,,FGN,,16R,,20,150,0,Climb,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Precautionary Landing,EMERGENCY LANDING,No Cloud,None,11 to 100,11-100,Medium,N,"SOURCE = AON DAILY LOSSES & FOUR xxxx-x (xxxx-x-xxxxxx, Rx, Rx, Rx) & AIR SAFETY WEEK ** costs not available as of xx-xx-xx. They don't keep track of this type of cost according to the Corp Sfty person. (UPDATED COSTS x/x/xx)","ID BY SMITHSONIAN, FAA 1960 & 2039. FLT WAS RUNNING 4 HRS LATE. RWY HAD NOT BEEN USED MUCH AT THIS TIME. DID NOT SEE BIRDS ON RWY DURING TAXI. SAW A FEW GULLS AT 110 KTS, WATCHED TO MAKE SURE THEY DID NOT GO INTO ENGS. AT 150 KTS WE HIT A LRG FLOCK. FUEL WAS DUMPED BEFORE LDG. EMERGENCY LDG. BIRDS HIT COCKPIT WINDOW, RT ENG NOSE COWL, WING AND RT MAIN UNDERCARRIAGE. THE MAIN GEAR STRUTS DEFLATED. SOME OF THE FAN BLADES HAD LARGE CHUNKS TAKEN OUT. THE LEFT ENG HAD MANY FAN BLADES DAMAGED MIDWAY ALONG THE BLADE LEADING EDGE. BOTH ENGINES HAD TO BE CHANGED. THEY WERE FLOWN IN FROM THE US. THE ANSV REPORT NOTED THAT THE CREW NOTICED THE BIRDS DURING TAXI OUT, DISCUSSED THE BIRDS BUT DID NOT REPORT THEM NOR DID THEY ASK FOR BIRD DISPERSAL. THE UNDERESTIMATION BY THE FLT CREW OF THE RISKS CONNECTED WITH THE PRESENCE OF BIRDS WAS A CONTRIBUTING FACTOR.",168,,944070,,Deleted,Deleted,,Multiple,Pilot,,,6/3/08 0:00,FALSE,TRUE
10/3/12 0:00,UT,KSLC,SALT LAKE CITY INTL,DAL,DELTA AIR LINES,B-757-200,D,J2204,Canada goose,S,500000,148,26,34,40,A,4,2,1,1,,,N6701,1333,TRUE,TRUE,10,2012,Night,2115,ANM,,34L,,300,132,1,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,COWLING,Engine Shut Down,,No Cloud,None,,2 to 10,Large,Y,"SOURCE = FIVE xxxx-x (xxxx-xx-x-xxxxxx & Rx, xx-xx-xxxxxx, Rx & Rx)","ID BY SMITHSONIAN. ENGINE REMOVED DUE TO BIRDSTRIKE DAMAGE. MULTIPLE FAN BLADES WITH LEAD EDGE BENDS BYOND LIMITS. SEVERAL WITH FAN LEAD EDGE MATERIAL BREAK-OUT. FAN ACOUSTIC LINERS DENTED/PUNCTURED. DAMAGE CONSISTENT WITH LOW SPEED OPERATION. PHOTOS. (DATA ENTRY NOTE INITIAL COST REPORTED AT $500,000. UNABLE TO GET UPDATE)",,,527067,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,1/23/13 0:00,FALSE,TRUE
2/22/99 0:00,KY,KCVG,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DAL,DELTA AIR LINES,B-757-200,D,YL001,European starling,S,500000,148,26,34,40,A,4,2,1,1,,,N682DA,,FALSE,FALSE,2,1999,Day,1455,ASO,,18L,,15,150,,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Precautionary Landing,,No Cloud,None,Over 100,Over 100,Small,Y,"SOURCE = NTSB (NYCxxLAxxx), xxxx-x, WASH. OPS CNT PRELIM. & PRELIM. ACC/INC DATA RECORD","SIGNIFICANT STRIKE. NO MENTION OF BIRD HAZARD HEARD. AT 150 KNOTS, A FLOCK OF BIRDS PASSED IN FRONT OF THE A/C. CAPT ADZ F/O OF HAZARD AND ASKED HIM TO TRY TO CLIMB OVER THE FLOCK. A/C STILL HIT IT. MAIN LDG GEAR WAS JUST BECOMING AIRBORNE. TAXIED TO GATE W/O INCIDENT. N1 ON ENGINES DROPPED. 2 ENG DESTROYED. EXTENSIVE DAMAGE TO RT WING. #1 ENG HAD 1ST STAGE COMPRESSOR BLADES DAMAGED. 400 BIRDS HIT. NO INJURIES. MASSIVE CLEAN-UP OF BIRD DEBRIS. FLT 338.",,,742484,,Deleted,Deleted,,AC Incident Rept,Air Transport Operations,,,5/1/01 0:00,FALSE,TRUE
9/29/09 0:00,NY,KLGA,LA GUARDIA ARPT,DAL,DELTA AIR LINES,MD-88,D,H4105,Double-crested cormorant,M?,500000,583,37,34,10,A,4,2,5,5,,,N920DE,1393,TRUE,FALSE,9,2009,Dusk,1758,AEA,,22,,50,140,0,Approach,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,RADAR ANTENNA,None,,No Cloud,None,1,1,Large,Y,"SOURCE = TWO xxxx-x (xxxx-x-xx-xxxxxx), AAIPN, FAA ACCIDENT/INCIDENT PRELIM DATA, DAILY REPT PHOTOS, NEWS MEDIA",BIRDSTRIKE REPORTED ON FINAL. ARFF RESPONDED. DENT IN RADOME AND DAMAGE TO RADAR ENTENNA. CARCASS REMOVED FROM RWY.,24,,570439,,Deleted,Deleted,,Multiple,Pilot,,,2/17/10 0:00,FALSE,TRUE
11/14/01 0:00,FL,KDAB,DAYTONA BEACH INTL,DAL,DELTA AIR LINES,MD-88,D,NE1,Gulls,M?,443443,583,37,34,10,A,4,2,5,5,,,N905DL,1926,FALSE,FALSE,11,2001,Dawn,,ASO,,7L,,0,145,0,Take-off run,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Precautionary Landing,,Overcast,Rain,,2 to 10,Medium,,ENG DETAILS FROM PW DAL REF# xxxx.,AT ROTATION A/C HIT MULTIPLE BIRDS. BOTH ENGS APPEAR TO HAVE INGESTED BIRDS. ENGS OPERATED NORMALLY ON RETURN FOR LDG. F/O WINDSHLD STRUCK. #1 ENG HAD CURLED BLADE TIPS AND 1 FAN BLADE WITH CUSPING. BOTH ENGS WERE BORESCOPED. ENG 1 HAD COMPRESSOR 1 DISK AND BLADE ASSEMBLY REPLACED. 11 INLET GUIDE VANES BENT.,,,624682,,Deleted,Deleted,,Multiple,Air Transport Operations,,,5/21/03 0:00,FALSE,TRUE
10/9/09 0:00,UT,KSLC,SALT LAKE CITY INTL,DAL,DELTA AIR LINES,B-767-300,D,K3305,Swainson's hawk,M?,350000,148,97,10,1,A,4,2,1,1,,,N1402A,1105,TRUE,FALSE,10,2009,Day,1033,ANM,,35,,,,,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Some Cloud,None,,1,Medium,Y,xxxx-xx-xx-xxxxxx,REPTD BIRDSTRIKE BY GRND PERSONNEL DURING WALKAROUND AFTER FLT. PILOT HAD NO IDEA HE HAD HIT A BIRD. FOUND REMAINS 1/4 MILE PRIOR TO APRCH END OF RWY. DAL MX EST LOST TIME AND COST. EST IS FOR REPAIR AND REVENUE LOSS. DMG TO LE OF L WING ABOUT 12 FT FROM TIP RQUIRING REPLACEMENT SLAT.,6,,399307,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,3/22/10 0:00,FALSE,TRUE
9/25/07 0:00,UT,KSLC,SALT LAKE CITY INTL,DAL,DELTA AIR LINES,MD-90-30,D,J2106,Green-winged teal,M,312892,583,41,23,1,A,4,2,5,5,,,N913DN,1779,TRUE,TRUE,9,2007,Night,2034,ANM,,34L,,1000,,2,Approach,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,2 to 10,2 to 10,Small,,"SOURCE = x xxxx-x (xxxx-x-xx-xxxxxx, Rx & Rx & xx-xxxxxx) (x/x/xx UPDATED AIRCRAFT)","ID BY SMITHSONIAN, FAA 2094, A,B,C. A = GREEN -WINGED TEAL (99.5% DNA MATCH) , B = EITHER BLUE-WINGED OR CINNAMON TEAL (DNA), C = NO VIABLE DNA IN SAMPLE. BIRDSTRIKE ON 2 MILE FINAL. THOUGHT THEY HIT 3 ""SEAGULLS"". DNA AND FEATHERS COLLECTED FROM MULTIPLE LOCATIONS. DMG TO RADOME. RADOME WAS REPLACED.",,,376295,,Deleted,Deleted,,FAA Form 5200-7-E,,,,5/9/12 0:00,FALSE,TRUE
